REGISTER_DATE,CASES,DEATHS
2020-07-19,4724,141
2020-07-18,4708,141
2020-07-17,4616,135
2020-07-16,4540,131
2020-07-15,4410,126
2020-07-14,4318,121
2020-07-13,4199,116
2020-07-12,4195,116
2020-07-11,4067,116
2020-07-10,3942,116
2020-07-09,3835,115
2020-07-08,3745,113
2020-07-07,3657,111
2020-07-06,3547,105
2020-07-05,3527,105
2020-07-04,3309,105
2020-07-03,3277,101
2020-07-02,3145,97
2020-07-01,3064,94
2020-06-30,2943,92
2020-06-29,2896,87
2020-06-28,2812,87
2020-06-27,2673,87
2020-06-26,2561,86
2020-06-25,2455,86
2020-06-24,2355,82
2020-06-23,2256,81
2020-06-22,2130,72
2020-06-21,2089,72
2020-06-20,2045,72
2020-06-19,2023,69
2020-06-18,1711,67
2020-06-17,1700,64
2020-06-16,1687,61
2020-06-15,1533,56
2020-06-14,1524,56
2020-06-13,1502,56
2020-06-12,1469,56
2020-06-11,1445,55
2020-06-10,1337,54
2020-06-09,1268,50
2020-06-08,1214,45
2020-06-07,1186,45
2020-06-06,1145,45
2020-06-05,1110,45
2020-06-04,1082,42
2020-06-03,1018,39
2020-06-02,969,36
2020-06-01,901,35
2020-05-31,899,35
2020-05-30,890,35
2020-05-29,835,33
2020-05-28,807,32
2020-05-27,729,30
2020-05-26,694,30
2020-05-25,692,30
2020-05-24,665,30
2020-05-23,653,30
2020-05-22,618,30
2020-05-21,586,29
2020-05-20,546,28
2020-05-19,480,27
2020-05-18,467,20
2020-05-17,450,20
2020-05-16,429,20
2020-05-15,412,19
2020-05-14,393,18
2020-05-13,407,18
2020-05-12,365,17
2020-05-11,356,16
2020-05-10,355,16
2020-05-09,354,16
2020-05-08,340,15
2020-05-07,322,14
2020-05-06,296,14
2020-05-05,257,14
2020-05-04,236,11
2020-05-03,234,11
2020-05-02,226,11
2020-05-01,224,11
2020-04-30,219,10
2020-04-29,202,10
2020-04-28,194,10
2020-04-27,185,5
2020-04-26,174,5
2020-04-25,174,5
2020-04-24,158,5
2020-04-23,141,5
2020-04-22,139,3
2020-04-21,138,3
2020-04-20,136,3
2020-04-19,136,3
2020-04-18,138,3
2020-04-17,135,3
2020-04-16,116,3
2020-04-15,113,3
2020-04-14,90,2
2020-04-13,85,1
2020-04-12,85,1
2020-04-11,85,1
2020-04-10,85,1
2020-04-09,81,1
2020-04-08,77,0
2020-04-07,61,0
2020-04-06,48,0
2020-04-05,30,0
2020-04-04,24,0
2020-04-03,20,0
2020-04-02,14,0
2020-04-01,12,0
2020-03-31,9,0
2020-03-30,5,0
2020-03-27,4,0
2020-03-26,2,0
2020-03-25,2,0
2020-03-20,1,0
2020-03-18,1,0
